Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
SETFGOLD-EQ,130.48,124.14,125.9,72.27,HOLD,33.33,No complete signal,168,2026-08-12 19:47:59
WIPL-EQ,167.9,166.66,156.13,50.09,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:00
MASKINVEST-EQ,151.75,151.62,147.6,49.79,HOLD,66.67,Partial bullish conditions,160,2026-08-12 19:48:01
ZAGGLE-EQ,201.71,208.0,246.89,42.92,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:03
GOKUL-EQ,39.41,40.11,39.55,45.8,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:04
VBL-EQ,438.7,466.28,473.33,38.14,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:06
RKSWAMY-EQ,101.45,101.86,100.21,47.5,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:07
RAMANEWS-EQ,33.5,30.47,31.1,71.2,HOLD,33.33,No complete signal,168,2026-08-12 19:48:08
JKPAPER-EQ,388.9,377.27,357.6,55.4,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:10
PENIND-EQ,159.7,164.4,166.46,41.04,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:11
PARKHOTELS-EQ,119.24,122.36,122.76,41.83,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:13
PSUBNKIETF-EQ,89.43,86.0,87.14,64.44,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:48:14
KANSAINER-EQ,208.19,205.83,208.3,52.66,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:48:15
HUDCO-EQ,192.73,201.85,201.52,37.77,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:17
MODTHREAD-EQ,45.53,47.23,45.56,43.82,HOLD,66.67,Partial bearish conditions,166,2026-08-12 19:48:18
GILT5BETA-EQ,66.21,66.14,64.86,49.51,HOLD,66.67,Partial bullish conditions,158,2026-08-12 19:48:20
SENSEXAXIS-EQ,82.0,80.23,81.57,60.27,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:48:21
MBAPL-EQ,165.99,142.38,107.54,68.97,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:22
VIDHIING-EQ,317.5,307.59,308.18,54.33,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:48:24
SAHYADRI-EQ,346.8,301.81,268.08,70.71,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:48:25
SULA-EQ,151.0,157.15,171.68,41.97,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:27
RADIANTCMS-EQ,38.09,38.3,41.69,50.1,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:28
JKTYRE-EQ,386.0,399.53,438.53,42.05,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:29
ARIES-EQ,397.35,345.34,340.56,81.51,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:48:31
ABSLBANETF-EQ,59.45,58.69,58.56,56.54,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:48:32
COMSYN-EQ,269.25,200.61,167.6,79.0,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:48:34
MAXIND-EQ,163.23,167.06,163.41,44.13,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:35
NELCAST-EQ,119.7,129.03,123.39,40.05,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:37
IEX-EQ,125.0,125.75,127.46,47.09,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:38
FUSION-EQ,203.78,207.67,184.28,45.14,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:39
ALPA-EQ,67.17,68.0,68.57,46.19,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:41
MUNJALAU-EQ,99.83,100.4,86.55,45.4,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:42
SUNTECK-EQ,292.7,307.69,344.28,38.75,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:44
REFEX-EQ,293.4,311.37,271.9,38.07,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:45
JKIL-EQ,491.35,492.35,515.53,49.5,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:48:47
JUBLFOOD-EQ,481.4,447.93,477.13,62.65,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:48:48
IVZINNIFTY-EQ,282.0,277.47,279.37,59.7,HOLD,66.67,Partial bullish conditions,163,2026-08-12 19:48:50
ITADD-EQ,33.59,31.54,33.47,68.28,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:48:51
RECLTD-EQ,344.2,358.33,353.7,36.38,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:48:52
