Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
MOM100-EQ,68.91,67.46,64.81,62.48,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:50:00
WORTHPERI-EQ,157.13,143.72,137.1,64.77,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:50:03
WSI-EQ,58.07,62.83,71.8,34.74,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:50:16
EDELWEISS-EQ,118.9,118.22,113.95,51.39,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:50:17
LORDSCHLO-EQ,137.02,141.33,142.18,43.53,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:50:18
DELTACORP-EQ,60.71,64.12,65.3,35.04,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:50:20
AJMERA-EQ,117.48,126.25,137.8,37.19,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:50:23
EPACK-EQ,212.22,232.64,245.13,30.05,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:50:28
IKIO-EQ,214.9,194.27,164.52,61.91,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:50:31
AGRITECH-EQ,107.1,111.75,121.89,42.13,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:50:38
PODDARMENT-EQ,261.0,253.25,248.16,54.13,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:50:39
HUHTAMAKI-EQ,278.4,253.29,200.61,55.46,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:50:42
HEIDELBERG-EQ,155.99,156.05,159.95,49.68,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:50:43
OSWALAGRO-EQ,37.38,40.4,46.68,39.16,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:50:45
KIOCL-EQ,395.4,381.48,370.06,59.88,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:50:53
KARURVYSYA-EQ,338.8,321.0,295.23,60.47,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:50:59
INTENTECH-EQ,81.44,90.21,100.71,34.9,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:51:00
