Stock,Symbol,LTP,Price,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Total Buy Quantity,Total Sell Quantity,Last Trade Quantity,Trade Volume,Average Price,SMMA20,SMMA120,RSI,ETQ 5m,ETQ 20m,ETQ 60m,Average LTP 20m,Average LTP 60m,Crossover,Crossover Price,Signal,Confidence,Liquidity Pass,LTP Pass,Reasons,Scan Time
LOWVOL,LOWVOL-EQ,210.75,210.75,0.0,0.0,0.0,0.0,0.0,0.0,22.0,109.0,210.97,207.8159873091553,206.02849843640368,63.61401352181928,,,,,,BUY,214.3,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:47:04
SUVEN,SUVEN-EQ,330.55,330.55,0.0,0.0,330.55,1243.0,0.0,1243.0,2.0,466245.0,331.56,308.00299118515727,218.76310229026785,55.42651181417701,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:47:07
SALSTEEL,SALSTEEL-EQ,63.05,63.05,0.0,0.0,63.05,322.0,0.0,322.0,181.0,830005.0,61.84,58.17364532618741,50.27636252351324,62.740569668976136,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:47:10
NDLVENTURE,NDLVENTURE-EQ,127.03,127.03,127.03,5000.0,0.0,0.0,5000.0,0.0,51.0,460385.0,127.08,128.19171060923463,115.22378583086588,52.86458333333332,,,,,,NONE,,HOLD,10.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:47:15
AMDIND,AMDIND-EQ,51.18,51.18,51.18,10.0,0.0,0.0,10.0,0.0,500.0,35589.0,51.02,46.93348297382673,45.044008463470576,58.190883190883184,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:47:17
NAHARINDUS,NAHARINDUS-EQ,119.95,119.95,0.0,0.0,0.0,0.0,0.0,0.0,6.0,88513.0,121.34,118.3489610591107,108.73184039499948,53.99310161846642,,,,,,NONE,,BUY,70.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:47:20
NAHARSPING,NAHARSPING-EQ,305.55,305.55,0.0,0.0,0.0,0.0,0.0,0.0,18.0,37219.0,303.17,284.06282017256234,234.10289563179964,65.1403249630724,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:47:23
IFCI,IFCI-EQ,73.51,73.51,0.0,0.0,73.51,8219.0,0.0,8219.0,2190.0,14279371.0,73.73,73.99060925855889,63.64698439492184,55.97579425113466,,,,,,NONE,,HOLD,25.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:47:27
RAIN,RAIN-EQ,209.38,209.38,209.38,12906.0,0.0,0.0,12906.0,0.0,25.0,6310349.0,207.85,209.22215680469412,161.60861785204665,41.40586797066015,,,,,,NONE,,HOLD,50.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:47:29
TIPSFILMS,TIPSFILMS-EQ,362.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13247.0,363.75,361.1095939946496,366.79837445603374,46.79078882900538,,,,,,NONE,,HOLD,10.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI shows weak momentum']",2026-08-12 17:47:31
JAIBALAJI,JAIBALAJI-EQ,65.81,65.81,0.0,0.0,65.81,186.0,0.0,186.0,1.0,218036.0,65.91,65.17309602449079,67.64817051868319,63.114377583830944,,,,,,SELL,63.69,HOLD,25.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:47:34
RAMKY,RAMKY-EQ,386.9,386.9,0.0,0.0,0.0,0.0,0.0,0.0,36.0,27075.0,389.24,399.6053784350597,459.68161031804755,61.29032258064514,,,,,,NONE,,HOLD,35.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:47:39
DBCORP,DBCORP-EQ,212.22,212.22,0.0,0.0,212.22,252.0,0.0,252.0,2.0,116431.0,212.23,208.2520368799484,220.2046781303017,65.84887144259059,,,,,,NONE,,HOLD,25.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:47:41
MUFIN,MUFIN-EQ,135.4,135.4,135.4,347.0,0.0,0.0,347.0,0.0,50.0,2414696.0,135.78,129.6757626140724,118.49390432848969,70.71486596263202,,,,,,NONE,,HOLD,50.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI is overbought']",2026-08-12 17:47:43
IVZINGOLD,IVZINGOLD-EQ,133.2,133.2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17774.0,132.83,126.56872519750532,128.289114096697,73.68421052631575,,,,,,SELL,121.2,HOLD,10.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI is overbought']",2026-08-12 17:47:50
SUPERHOUSE,SUPERHOUSE-EQ,158.53,158.53,0.0,0.0,0.0,0.0,0.0,0.0,179.0,3626.0,159.85,158.19562029812846,152.93595336432884,51.92027224112783,,,,,,NONE,,BUY,70.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:47:56
JSWINFRA,JSWINFRA-EQ,346.6,346.6,346.6,998.0,0.0,0.0,998.0,0.0,32.0,8419123.0,349.36,323.3371843423058,284.74083166825227,66.89602446483184,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:47:58
SSWL,SSWL-EQ,312.5,312.5,312.5,149.0,0.0,0.0,149.0,0.0,1.0,369223.0,315.2,277.5994476768248,223.8598800258288,68.2120141342756,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:48:00
KIRIINDUS,KIRIINDUS-EQ,434.45,434.45,434.45,2347.0,0.0,0.0,2347.0,0.0,10.0,1842255.0,438.02,409.0482904509402,439.0939620119428,63.76470588235291,,,,,,NONE,,HOLD,25.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:48:03
LLOYDSENGG,LLOYDSENGG-EQ,92.41,92.41,92.41,28990.0,0.0,0.0,28990.0,0.0,50.0,7926085.0,92.38,87.08109247562354,64.36617073059924,58.37479270315091,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:48:05
ASIANHOTNR,ASIANHOTNR-EQ,304.1,304.1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12946.0,310.46,306.5662610023714,304.03501171239407,57.04358812381551,,,,,,BUY,338.9,HOLD,25.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:48:08
IRMENERGY,IRMENERGY-EQ,295.15,295.15,295.15,305.0,0.0,0.0,305.0,0.0,44.0,128474.0,296.73,271.18987634040616,258.32255117835547,80.45886075949362,,,,,,NONE,,HOLD,50.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI is overbought']",2026-08-12 17:48:10
APOLLOTYRE,APOLLOTYRE-EQ,445.15,445.15,0.0,0.0,445.15,129.0,0.0,129.0,3.0,560928.0,444.58,431.0240305855672,446.1622797855937,71.47470398277711,,,,,,NONE,,HOLD,10.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI is overbought']",2026-08-12 17:48:13
PIGL,PIGL-EQ,112.52,112.52,0.0,0.0,112.52,310.0,0.0,310.0,15.0,179738.0,113.27,109.3081625725993,111.54323128227261,53.01830776843148,,,,,,NONE,,HOLD,10.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:48:15
REDTAPE,REDTAPE-EQ,125.87,125.87,125.87,10.0,0.0,0.0,10.0,0.0,100.0,455948.0,125.73,132.460334210401,127.16223049405708,48.252766453115896,,,,,,NONE,,HOLD,10.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:48:21
GOLDADD,GOLDADD-EQ,148.59,148.59,0.0,0.0,0.0,0.0,0.0,0.0,101.0,2068223.0,148.3,141.40178278468142,143.37344363829138,78.18520820385335,,,,,,SELL,135.66,HOLD,10.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI is overbought']",2026-08-12 17:48:23
HPIL,HPIL-EQ,126.37,126.37,0.0,0.0,126.37,21.0,0.0,21.0,3.0,5225.0,125.64,126.53601256000279,128.52759370071902,56.47974242017708,,,,,,SELL,126.64,HOLD,35.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:48:29
HISARMETAL,HISARMETAL-EQ,149.4,149.4,0.0,0.0,149.4,295.0,0.0,295.0,1.0,9665.0,150.6,151.62595244132518,155.0419482598249,50.35569105691057,,,,,,NONE,,SELL,50.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:48:34
BIGBLOC,BIGBLOC-EQ,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,32054.0,46.35,47.67136066948804,53.79802222562232,46.42032332563509,,,,,,NONE,,SELL,70.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows weak momentum']",2026-08-12 17:48:40
ADFFOODS,ADFFOODS-EQ,261.65,261.65,0.0,0.0,261.65,118.0,0.0,118.0,25.0,71300.0,262.69,284.73073372772745,241.29491415369858,33.78932968536253,,,,,,NONE,,HOLD,10.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:48:44
