date,Symbol,close,future_return,target,prediction,probability_up,probability_down,fold,train_start,train_end,test_start,test_end,confidence,direction,trade_return,position_size,optimized_return,result
2026-05-25 00:00:00+05:30,ITC-EQ,303.95,-0.068103306464879,0,0,0.2789109105104339,0.7210890894895661,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7210890894895661,SELL,0.068103306464879,1.0,0.068103306464879,WIN
2026-05-25 00:00:00+05:30,SUZLON-EQ,53.99,0.009816632709761,1,0,0.2612030819474008,0.7387969180525993,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7387969180525993,SELL,-0.009816632709761,1.0,-0.009816632709761,LOSS
2026-05-26 00:00:00+05:30,ITC-EQ,301.65,-0.0817172219459637,0,0,0.3327936539588939,0.6672063460411062,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6672063460411062,SELL,0.0817172219459637,1.0,0.0817172219459637,WIN
2026-05-27 00:00:00+05:30,ITC-EQ,291.95,-0.039904093166638,0,0,0.3133544467608036,0.6866455532391964,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6866455532391964,SELL,0.039904093166638,1.0,0.039904093166638,WIN
2026-06-02 00:00:00+05:30,SUZLON-EQ,54.52,0.0130227439471752,1,0,0.3481128185814521,0.6518871814185478,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6518871814185478,SELL,-0.0130227439471752,1.0,-0.0130227439471752,LOSS
2026-06-03 00:00:00+05:30,SUZLON-EQ,54.4,-0.0058823529411764,0,0,0.2861498160240461,0.7138501839759539,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.7138501839759539,SELL,0.0058823529411764,1.0,0.0058823529411764,WIN
2026-06-04 00:00:00+05:30,TATAMOTORS-EQ,399.7,-0.0595446584938704,0,0,0.3338356516215455,0.6661643483784545,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6661643483784545,SELL,0.0595446584938704,1.0,0.0595446584938704,WIN
2026-06-05 00:00:00+05:30,SUZLON-EQ,55.31,-0.0041583800397758,0,0,0.3196035401574935,0.6803964598425065,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.6803964598425065,SELL,0.0041583800397758,1.0,0.0041583800397758,WIN
2026-06-05 00:00:00+05:30,TATAMOTORS-EQ,397.8,-0.0196078431372549,0,0,0.323780851631784,0.676219148368216,4,2025-09-23 00:00:00+05:30,2026-04-02 00:00:00+05:30,2026-04-06 00:00:00+05:30,2026-06-05 00:00:00+05:30,0.676219148368216,SELL,0.0196078431372549,1.0,0.0196078431372549,WIN
2026-06-09 00:00:00+05:30,SBIN-EQ,1002.7,0.012566071606662,1,1,0.7132599895310673,0.2867400104689327,5,2025-09-23 00:00:00+05:30,2026-06-05 00:00:00+05:30,2026-06-08 00:00:00+05:30,2026-08-05 00:00:00+05:30,0.7132599895310673,BUY,0.012566071606662,1.0,0.012566071606662,WIN
